ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Hora de la última modificación;Indícanos tu sede;¿Con qué frecuencia asistes a las ayudantías de tus cursos actuales?;¿Cuál o cuáles son las principales razones por la que no asistes o asistes poco a ayudantía?; Cuando no usas la ayudantía oficial, ¿qué utilizas para estudiar?;Utilidad real: ¿Cuánto te sirven para aprender la materia?;Comodidad: ¿Qué tan cómodo(a) te sientes haciendo preguntas?;Claridad: ¿Qué tan claro es el ayudante al explicar?;Preparación: ¿Qué tanto te preparan para las evaluaciones (pruebas/exámenes)?;¿Has notado diferencias grandes en la calidad o criterios entre distintos ayudantes de un mismo curso? ;(Opcional) Cuéntanos brevemente qué diferencia notaste;¿Qué tan alineada sientes la ayudantía con lo que ves en clases con el profesor?;Column;Si has tenido problemas con una corrección, ¿cómo fue la resolución?;¿Qué modalidad te sirve más para una ayudantía? (Tipo: Opción única);¿En qué horario es más probable que asistas a una ayudantía? (Tipo: Opción única);¿Qué formato de ayudantía es el que más te ayuda a aprender? (Tipo: Opción única);Para ti, ¿qué es lo más importante que debería tener una ayudantía para ser útil? (Tipo: Texto);Si pudieras cambiar UNA sola cosa de las ayudantías de ICI hoy, ¿qué sería? (Tipo: Texto);¿Alguna vez has sido ayudante en la UAI? (Tipo: Opción única);¿Cuál es la razón principal por la que NO has sido ayudante? (Tipo: Máximo 3 opciones);(Opcional) Comentarios sobre las ayudantias en la actualidad
72;3-20-26 13:16:20;3-20-26 13:23:50;anonymous;;;Viña del Mar;75%;;"Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";4;5;5;5;Sí, hay mucha diferencia;Hay muchos ayudantes que les cuesta explicar, o se enredan ellos solos, eso hace que uno se confunda más y falte a las ayudantias ;8;5;Se resolvió, pero fue un proceso lento o difícil.;Híbrida (presencial + transmisión);Almuerzo;Resolución de ejercicios tipo prueba (intensivo);Ejercicios a resolver tipo prueba, pero no solamente los de pruebas anteriores ya que eso lo hace uno cuando estudia por su parte, sino ejercicios tipo prueba nuevos ;Siento que en estos momentos lo principal sería la presencialidad, la gran mayoría de la personas aprende más de manera presencial que online;No;"No tengo tiempo por la carga académica;Los horarios de ayudantía no me acomodan;No me siento preparado/a técnicamente;";En general son buenas, pero si podrían mejorar, yo creo que para poder elegir bien un ayudante no solo debe tener buenas notas, deberían de verlo mínimo 1 vez como explica para ver si realmente podría ser ayudante 
73;3-20-26 13:35:24;3-20-26 13:40:42;anonymous;;;Peñalolén;75%;;"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);";4;3;4;4;Sí, hay mucha diferencia;Los aydantes explican ejercicios distintos, pero solo algunos suben la ayudantia a webc (ya sea la pauta o las instrucciones), por lo que solo con algnos ayudantes, si faltas puedes obtener igual el material, otros no suben nada, entonces si faltaste por algun motivo perdiste esa materia;9;4;Se resolvió, pero fue un proceso lento o difícil.;Híbrida (presencial + transmisión);Mañana;Resolución de ejercicios tipo prueba (intensivo);Tener la capacidad no solo de enseñarle a los alumnos, sino que puedan resolver dudas y sepan transmitir la información;Que todos los ayudantes deban subir las instrucciones y pauta (desarrollo) de las ayudantias.;Sí;;Cuando los horarios son muy tarde, los alumnos casi no asisten, todos deberian subir el desarrollo de lo que hicieron a webc para los que no pudieron asistir. Y si por alguna razon la ayudantía es online, debería ser grabada, por si el alumno no puede asistir, para que no pierda lo que se ve
74;3-20-26 13:41:00;3-20-26 13:45:07;anonymous;;;Peñalolén;100%;;"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";5;4;4;3;Sí, hay mucha diferencia;;8;2;Se resolvió rápido y de forma clara.;100% Presencial;Almuerzo;Resolución de ejercicios tipo prueba (intensivo);Que sea en un horario decente, no a las 6 de la tarde, considerando que existe gente que vive lejos de la universidad;Que sea en un horario decente, no a las 6 de la tarde, considerando que existe gente que vive lejos de la universidad;Sí;;Son muy dificiles de entablar un buen horario porque existe una falta importante de infraestructura frente a la cantidad de ingreso de alumnos a la Universidad
75;3-20-26 13:46:29;3-20-26 13:48:42;anonymous;;;Peñalolén;0%;"No me sirve / No aporta valor;Prefiero estudiar por mi cuenta;";"IA (ChatGPT, Claude, etc.);Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);";1;5;3;1;No, es bastante homogéneo;;8;1;Se resolvió, pero fue un proceso lento o difícil.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Tarde;Resolución de ejercicios tipo prueba (intensivo);Son demasiado faciles;.;No;"No me aprueban;";
76;3-20-26 14:09:40;3-20-26 14:22:42;anonymous;;;Viña del Mar;50%;"Horario (tope o inconveniente);";"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";5;1;5;5;Sí, hay mucha diferencia;;9;3;Se resolvió rápido y de forma clara.;Híbrida (presencial + transmisión);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);;;Sí;;
77;3-20-26 14:26:36;3-20-26 14:33:21;anonymous;;;Viña del Mar;75%;;"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";4;5;3;2;Sí, hay mucha diferencia;"Hay algunos ayudantes que usan las mismas ayudantías todos los semestres. Algunos ni saben lo que están explicando, solo leen y anotan.
Por el contrario, hay ayudantes muy bueno que son preparados y que saben mucho del tema.
Por otro lado, se debería hacer una especie de prueba antes de hacer las ayudantías como instructores, me tocaron ayudantes que no tenían preparación o no sabían del tema.";6;4;Se resolvió, pero fue un proceso lento o difícil.;Híbrida (presencial + transmisión);Tarde;Resolución de ejercicios tipo prueba (intensivo);Preparación de prueba tipo ejercicios ;Ayudantes mas preparados. Siento que muchos ayudantes solo son escogidos por sus notas, pero eso no es 100% fiable de sus conocimientos o métodos para enseñar;No;"Postulaba pero no me priorizaban ;";Ahora no tengo mas comentarios porque estoy haciendo mi pasantía 
78;3-20-26 14:38:14;3-20-26 15:17:41;anonymous;;;Peñalolén;50%;"Horario (tope o inconveniente);Prefiero estudiar por mi cuenta;";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);";3;2;5;4;Sí, hay mucha diferencia;;8;4;Se resolvió, pero fue un proceso lento o difícil.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);Dar tips y lograr hacer que los estudiantes entiendan lo que estan haciendo;Que se puede dar la posibilidad de que todas sean online;Sí;;
79;3-20-26 16:18:37;3-20-26 16:18:43;anonymous;;;Peñalolén;25%;"Modalidad (ej. es online y prefiero presencial, o viceversa);Me apoyo en otras herramientas (IA, videos externos, apuntes);Horario (tope o inconveniente);";"Videos (YouTube, grabaciones de años anteriores);";3;1;3;3;Sí, hay mucha diferencia;;7;4;No aplica / No he tenido problemas.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Almuerzo;Repaso de materia (resumen) + Práctica;;;No;"El pago/incentivo económico es bajo;No tengo tiempo por la carga académica;";
80;3-20-26 16:57:47;3-20-26 17:00:19;anonymous;;;Peñalolén;75%;;"Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";5;2;4;5;Sí, hay mucha diferencia;;9;4;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Mañana;Resolución de ejercicios tipo prueba (intensivo);que sea grabada para poder repetir las cosas que no quedan claras;que sean todas online;No;"No me siento preparado/a técnicamente;No tengo tiempo por la carga académica;";
81;3-20-26 23:11:10;3-20-26 23:17:22;anonymous;;;Peñalolén;75%;;"IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";4;3;4;4;Sí, hay mucha diferencia;;7;3;Se resolvió, pero fue un proceso lento o difícil.;100% Presencial;Almuerzo;Resolución de ejercicios tipo prueba (intensivo);Ejercicios que se asemejen a las pruebas ;La modalidad, que ahora sea 100% presencial, con algún tipo de incentivo para que los alumnos puedan asistir con frecuencia a esta actividad.;Sí;;
82;3-21-26 11:32:25;3-21-26 11:35:22;anonymous;;;Peñalolén;0%;"Horario (tope o inconveniente);Prefiero estudiar por mi cuenta;Modalidad (ej. es online y prefiero presencial, o viceversa);";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);libros ;";3;5;5;3;Sí, hay mucha diferencia;La forma de explicar y el tipo de ejercicios que luego podíamos abordar en las pruebas;10;4;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);Ejercicios tipo prueba, y un poco de contenido teórico;La modalidad;Sí;;
83;3-21-26 18:28:37;3-21-26 18:31:14;anonymous;;;Viña del Mar;75%;;"IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";5;4;4;5;Sí, hay mucha diferencia;;8;4;Se resolvió rápido y de forma clara.;100% Presencial;Mañana;Repaso de materia (resumen) + Práctica;Una buena preparación por parte del ayudante, y que los contenidos y ejercicios estén alineados con los del profesor;La modalidad, que sean presenciales ;Sí;;
84;3-21-26 21:37:39;3-21-26 21:43:03;anonymous;;;Viña del Mar;25%;"Horario (tope o inconveniente);";"IA (ChatGPT, Claude, etc.);";4;5;3;3;No, es bastante homogéneo;;10;4;Se resolvió rápido y de forma clara.;Híbrida (presencial + transmisión);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);tener las preguntas más dificiles de la materia, para que así, en verdad me sienta preparado para saber las posibles opciones de preguntas que voy a tener en una evaluación;quizá mejoraría la comunicacion entre alumno y ayudante. de cierta manera para que se pueda hacer la ayudantía ya sea online o presencial;No;"El pago/incentivo económico es bajo;No tengo tiempo por la carga académica;No me siento preparado/a técnicamente;";
85;3-22-26 19:55:51;3-22-26 20:00:06;anonymous;;;Peñalolén;0%;"Como trabajo no me da el tiempo de quedarme en la universidad o viajar una hora para asistir ;";"Apuntes propios o de compañeros;";3;3;3;3;No, es bastante homogéneo;;5;No aplica;No aplica / No he tenido problemas.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Almuerzo;Resolución de ejercicios tipo prueba (intensivo);;;No;"El pago/incentivo económico es bajo;El incentivo académico (créditos/currículum) no es suficiente;No me interesa / No aplica;";
86;3-23-26 11:55:24;3-23-26 11:57:20;anonymous;;;Viña del Mar;0%;"Horario (tope o inconveniente);Modalidad (ej. es online y prefiero presencial, o viceversa);";"Grupo de estudio con amigos;IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);Apuntes propios o de compañeros;";1;4;3;4;Sí, hay mucha diferencia;;8;5;Se resolvió rápido y de forma clara.;100% Presencial;Tarde;Resolución de ejercicios tipo prueba (intensivo);;;No;"El pago/incentivo económico es bajo;Los horarios de ayudantía no me acomodan;";
87;3-24-26 12:17:04;3-24-26 12:24:23;anonymous;;;Peñalolén;75%;;"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);";3;4;3;4;Sí, hay mucha diferencia;;8;2;Se resolvió rápido y de forma clara.;100% Presencial;Mañana;Resolución de ejercicios tipo prueba (intensivo);Ejercicios bien explicados.;Que vuelvan a ser todas presenciales.;Sí;;
88;3-24-26 12:23:44;3-24-26 12:30:34;anonymous;;;Peñalolén;25%;"Prefiero estudiar por mi cuenta;Horario (tope o inconveniente);Me apoyo en otras herramientas (IA, videos externos, apuntes);";"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";5;2;4;3;No, es bastante homogéneo;;7;3;Se resolvió rápido y de forma clara.;Híbrida (presencial + transmisión);Vespertino (Después de las 18:00);Repaso de materia (resumen) + Práctica;Entusiasmo y ganas de enseñar;Quizás en algunos ramos hacer más práctica y que el ayudante sea mas activo, a veces eligen a una persona un poco desinteresada por enseñar;Sí;;Estan bien, en general las de los ramos de 5 año, la ayudante explica bien y hace bien práctica la ayudantía
89;3-25-26 9:25:03;3-25-26 9:27:06;anonymous;;;Peñalolén;50%;"No me sirve / No aporta valor;";"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";2;5;3;4;Sí, hay mucha diferencia;;6;No aplica;No aplica / No he tenido problemas.;100% Presencial;Mañana;Resolución de ejercicios tipo prueba (intensivo);;;No;"No me interesa / No aplica;";
